Dates,Day,Month,Year
18/07/1921,18,7,1921
19/07/1921,19,7,1921
20/07/1921,20,7,1921
21/07/1921,21,7,1921
22/07/1921,22,7,1921
23/07/1921,23,7,1921
24/07/1921,24,7,1921
25/07/1921,25,7,1921
26/07/1921,26,7,1921
27/07/1921,27,7,1921
28/07/1921,28,7,1921
29/07/1921,29,7,1921
30/07/1921,30,7,1921
31/07/1921,31,7,1921
01/08/1921,1,8,1921
02/08/1921,2,8,1921
03/08/1921,3,8,1921
04/08/1921,4,8,1921
05/08/1921,5,8,1921
06/08/1921,6,8,1921
07/08/1921,7,8,1921
08/08/1921,8,8,1921
09/08/1921,9,8,1921
10/08/1921,10,8,1921
11/08/1921,11,8,1921
12/08/1921,12,8,1921
13/08/1921,13,8,1921
14/08/1921,14,8,1921
15/08/1921,15,8,1921
16/08/1921,16,8,1921
17/08/1921,17,8,1921
18/08/1921,18,8,1921
19/08/1921,19,8,1921
20/08/1921,20,8,1921
21/08/1921,21,8,1921
22/08/1921,22,8,1921
23/08/1921,23,8,1921
24/08/1921,24,8,1921
25/08/1921,25,8,1921
26/08/1921,26,8,1921
27/08/1921,27,8,1921
28/08/1921,28,8,1921
29/08/1921,29,8,1921
30/08/1921,30,8,1921
31/08/1921,31,8,1921
01/09/1921,1,9,1921
02/09/1921,2,9,1921
03/09/1921,3,9,1921
04/09/1921,4,9,1921
05/09/1921,5,9,1921
06/09/1921,6,9,1921
07/09/1921,7,9,1921
08/09/1921,8,9,1921
09/09/1921,9,9,1921
10/09/1921,10,9,1921
11/09/1921,11,9,1921
12/09/1921,12,9,1921
13/09/1921,13,9,1921
14/09/1921,14,9,1921
15/09/1921,15,9,1921
16/09/1921,16,9,1921
17/09/1921,17,9,1921
18/09/1921,18,9,1921
19/09/1921,19,9,1921
20/09/1921,20,9,1921
21/09/1921,21,9,1921
22/09/1921,22,9,1921
23/09/1921,23,9,1921
24/09/1921,24,9,1921
25/09/1921,25,9,1921
26/09/1921,26,9,1921
27/09/1921,27,9,1921
28/09/1921,28,9,1921
29/09/1921,29,9,1921
30/09/1921,30,9,1921
01/10/1921,1,10,1921
02/10/1921,2,10,1921
03/10/1921,3,10,1921
04/10/1921,4,10,1921
05/10/1921,5,10,1921
06/10/1921,6,10,1921
07/10/1921,7,10,1921
08/10/1921,8,10,1921
09/10/1921,9,10,1921
10/10/1921,10,10,1921
11/10/1921,11,10,1921
12/10/1921,12,10,1921
13/10/1921,13,10,1921
14/10/1921,14,10,1921
15/10/1921,15,10,1921
16/10/1921,16,10,1921
17/10/1921,17,10,1921
18/10/1921,18,10,1921
19/10/1921,19,10,1921
20/10/1921,20,10,1921
21/10/1921,21,10,1921
22/10/1921,22,10,1921
23/10/1921,23,10,1921
24/10/1921,24,10,1921
25/10/1921,25,10,1921
26/10/1921,26,10,1921
27/10/1921,27,10,1921
28/10/1921,28,10,1921
29/10/1921,29,10,1921
30/10/1921,30,10,1921
31/10/1921,31,10,1921
01/11/1921,1,11,1921
02/11/1921,2,11,1921
03/11/1921,3,11,1921
04/11/1921,4,11,1921
05/11/1921,5,11,1921
06/11/1921,6,11,1921
07/11/1921,7,11,1921
08/11/1921,8,11,1921
09/11/1921,9,11,1921
10/11/1921,10,11,1921
11/11/1921,11,11,1921
12/11/1921,12,11,1921
13/11/1921,13,11,1921
14/11/1921,14,11,1921
15/11/1921,15,11,1921
16/11/1921,16,11,1921
17/11/1921,17,11,1921
18/11/1921,18,11,1921
19/11/1921,19,11,1921
20/11/1921,20,11,1921
21/11/1921,21,11,1921
22/11/1921,22,11,1921
23/11/1921,23,11,1921
24/11/1921,24,11,1921
25/11/1921,25,11,1921
26/11/1921,26,11,1921
27/11/1921,27,11,1921
28/11/1921,28,11,1921
29/11/1921,29,11,1921
30/11/1921,30,11,1921
01/12/1921,1,12,1921
02/12/1921,2,12,1921
03/12/1921,3,12,1921
04/12/1921,4,12,1921
05/12/1921,5,12,1921
06/12/1921,6,12,1921
07/12/1921,7,12,1921
08/12/1921,8,12,1921
09/12/1921,9,12,1921
10/12/1921,10,12,1921
11/12/1921,11,12,1921
12/12/1921,12,12,1921
13/12/1921,13,12,1921
14/12/1921,14,12,1921
15/12/1921,15,12,1921
16/12/1921,16,12,1921
17/12/1921,17,12,1921
18/12/1921,18,12,1921
19/12/1921,19,12,1921
20/12/1921,20,12,1921
21/12/1921,21,12,1921
22/12/1921,22,12,1921
23/12/1921,23,12,1921
24/12/1921,24,12,1921
25/12/1921,25,12,1921
26/12/1921,26,12,1921
27/12/1921,27,12,1921
28/12/1921,28,12,1921
29/12/1921,29,12,1921
30/12/1921,30,12,1921
31/12/1921,31,12,1921
01/01/1922,1,1,1922
02/01/1922,2,1,1922
03/01/1922,3,1,1922
04/01/1922,4,1,1922
05/01/1922,5,1,1922
06/01/1922,6,1,1922
07/01/1922,7,1,1922
08/01/1922,8,1,1922
09/01/1922,9,1,1922
10/01/1922,10,1,1922
11/01/1922,11,1,1922
12/01/1922,12,1,1922
13/01/1922,13,1,1922
14/01/1922,14,1,1922
15/01/1922,15,1,1922
16/01/1922,16,1,1922
